word,translation,lektion
das Geschlecht,gender,13
akzeptieren,to accept,13
sich bewerben (als/um),to apply (for/as),13
unheimlich,eerie; scary; incredibly,13
die Bewerbung,application,13
das Anschreiben,cover letter,13
das Bewerbungsschreiben,application letter,13
die Recherche,research,13
die Probezeit,probationary period,13
die Stellenanzeige,job advertisement,13
das Vorstellungsgespräch,job interview,13
die Unterlage,document(s),13
der tabellarische Lebenslauf,tabular CV; résumé,13
die Zusage,acceptance; confirmation,13
die Absage,rejection; refusal,13
das Verfahren,procedure; process,13
allgemein,general; common,13
abhängen (von),to depend (on),13
die Funktion,function,13
geeignet,suitable; appropriate,13
hinweisen (auf),to point out; to indicate,13
die Nachfrage,demand,13
abfragen,to query; to test knowledge,13
die Qualifikation,qualification,13
derselbe (dieselbe/dasselbe),the same,13
menschlich,human; humane,13
kämpfen (gegen),to fight (against),13
der Dialog,dialogue,13
erwarten,to expect,13
die Struktur,structure,13
die Methode,method,13
prüfen,to check; to examine,13
anwenden,to apply; to use,13
die Atmosphäre,atmosphere,13
der Eindruck,impression,13
das Drehbuch,screenplay; script,13
drehen,to shoot (a film); to turn,13
wirken,to seem; to appear; to have an effect,13
entwickeln,to develop,13
sich einbringen,to contribute; to bring in,13
sich beschäftigen (mit),to deal with; to be concerned with,13
word,translation,lektion
das Vorurteil,prejudice,14
der Dreck,dirt; filth,14
angeblich,allegedly; supposedly,14
der Feind,enemy,14
füttern,to feed,14
jahrelang,for years,14
sich nähern,to approach,14
übertragen,to transmit; to transfer,14
der Meister,master,14
die Meisterin,female master,14
weder ... noch,neither ... nor,14
die Geschwindigkeit,speed,14
das Nest,nest,14
selbstverständlich,of course; naturally,14
der Zweck,purpose,14
der Versuch,attempt; experiment,14
das Muster,pattern; sample,14
das Wunder,miracle; wonder,14
lebenslang,lifelong,14
das Verhältnis,relationship; ratio,14
der Nachwuchs,offspring; new generation,14
sowohl ... als auch,both ... and,14
die Entfernung,distance,14
sich merken,to remember; to memorize,14
unterscheiden,to distinguish,14
nützlich,useful,14
dumm,stupid,14
faul,lazy,14
frech,cheeky; sassy,14
wild,wild,14
die Taube,pigeon; dove,14
die Ratte,rat,14
die Spinne,spider,14
die Eule,owl,14
der Tiger,tiger,14
der Delfin,dolphin,14
der Tintenfisch,squid; octopus,14
die Ziege,goat,14
der Hirsch,deer; stag,14
der Fuchs,fox,14
